Deletion size,Max growth rate,Min production rate,Deleted genes,,
1,0.34871950474745,0.0532845381233236,Phatr3_EG02584,,
2,0.353897749137507,0.0279409893807777,PHATRDRAFT_draft521,PHATRDRAFT_48078,
2,0.353897749137531,0.0279409893806329,PHATRDRAFT_draft521,PHATRDRAFT_41969,
2,0.353897749137534,0.0279409893803455,PHATRDRAFT_draft521,PHATRDRAFT_20310,
2,0.353897749137528,0.0279409893808045,PHATRDRAFT_draft521,PHATRDRAFT_23913,
2,0.353897749137308,0.0279409893808483,PHATRDRAFT_draft521,PHATRDRAFT_31544,
2,0.353897749137531,0.0279409893806329,PHATRDRAFT_draft521,PHATRDRAFT_11319,
2,0.353897749137531,0.0279409893806329,PHATRDRAFT_draft521,PHATRDRAFT_55069,
2,0.353897749137584,0.0279409893798487,PHATRDRAFT_draft521,PHATRDRAFT_35580,
3,0.353897749137417,0.0279409893805965,PHATRDRAFT_54015,PHATRDRAFT_23913,PHATRDRAFT_28181
3,0.353897749137524,0.0279409893785167,PHATRDRAFT_54015,PHATRDRAFT_31436,PHATRDRAFT_28181
3,0.353897749137418,0.0279409893808708,PHATRDRAFT_54015,PHATRDRAFT_21970,PHATRDRAFT_35580
3,0.353897749137524,0.0279409893807418,PHATRDRAFT_54015,PHATRDRAFT_23723,PHATRDRAFT_21970
3,0.353897749137528,0.0279409893807719,PHATRDRAFT_54015,PHATRDRAFT_20310,PHATRDRAFT_21970
3,0.353897749137524,0.0279409893807418,PHATRDRAFT_54015,PHATRDRAFT_22803,PHATRDRAFT_21970
3,0.35389774913753,0.0279409893808056,PHATRDRAFT_54015,PHATRDRAFT_35580,PHATRDRAFT_28181
