Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,
2,0.282158834230449,0.30216671897761,YNR001C,YPR001W,,,,,,,
2,0.285520919150538,0.131142627930168,UNKNOWN,YBR291C,,,,,,,
3,0.284876207507439,0.0859305281938919,YKL106W,YOL126C,YKL120W,,,,,,
3,0.286260210728975,0.0558236020152023,YLR348C,YKL085W,YKL029C,,,,,,
3,0.281894380785458,0.301883513384637,YKL106W,YKL085W,YKL120W,,,,,,
4,0.286815742940306,0.00906624962891515,YDR035W,YLR348C,YOL126C,YKL085W,,,,,
4,0.285810884989868,0.0090344837132457,YBR291C,YJL121C,YLR348C,YOL126C,,,,,
5,0.284810188736428,0.107917486885172,YNL037C,YDL066W,YLR348C,YOL126C,YKL085W,,,,
6,0.284908680526941,0.0468389237954462,YCR032W,YCR010C,YER170W,YDL066W,YLR142W,YKL029C,,,
6,0.2839464908779,0.093446784961742,YCR032W,YCR010C,YDR300C,YDL066W,YMR267W,YKL029C,,,
9,0.280941292405462,0.0924577770260022,YKL106W,YCR032W,YCR010C,YDR148C,YOR323C,YMR267W,YLR348C,YJR095W,YKL120W
