Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,
5,0.157996283742735,4.57420911898477,YGR087C,YLR044C,YLR134W,YNL104C,YJL121C,,,,,,,,,
6,0.159157849106515,4.56862813993082,YGR087C,YLR044C,YLR134W,YDR380W,YDL080C,YJL121C,,,,,,,,
6,0.158240093954337,4.56242559251268,YGR087C,YLR044C,YLR134W,YOR375C,YAL062W,YNL104C,,,,,,,,
7,0.159405260216252,4.5567491486004,YGR087C,YLR044C,YLR134W,YDR380W,YDL080C,YOR375C,YAL062W,,,,,,,
9,0.171894780295992,1.88925054365751,YBR068C,YDR046C,YBR069C,YGR087C,YLR044C,YLR134W,YCL025C,YKR039W,YNL104C,,,,,
9,0.160780560557327,0.373834018992144,YMR083W,YGR087C,YLR044C,YLR134W,YKL192C,YOL059W,YJL121C,YLR348C,YML120C,,,,,
10,0.161032120511918,0.357636350148027,YMR083W,YGR087C,YLR044C,YLR134W,YKL192C,YOL059W,YOR375C,YAL062W,YLR348C,YML120C,,,,
10,0.173180795688491,1.88675951134514,YBR068C,YDR046C,YBR069C,YGR087C,YLR044C,YLR134W,YDR380W,YDL080C,YCL025C,YKR039W,,,,
10,0.159157849078759,4.56862811486354,YOL086C,YDL168W,YMR303C,YGL256W,YBR145W,YMR083W,YGR087C,YLR044C,YLR134W,YJL121C,,,,
11,0.15940239421361,4.56276224693661,YOL086C,YDL168W,YMR303C,YGL256W,YBR145W,YMR083W,YGR087C,YLR044C,YLR134W,YOR375C,YAL062W,,,
14,0.173146002117168,1.89985958718298,YOL086C,YDL168W,YMR303C,YGL256W,YBR145W,YBR068C,YMR083W,YDR046C,YBR069C,YGR087C,YLR044C,YLR134W,YCL025C,YKR039W
