Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,
5,0.157996283742735,4.57420911986807,YGR087C,YLR044C,YLR134W,YNL104C,YJL121C,,,,,,,,,
6,0.159157849106515,4.56862813993082,YGR087C,YLR044C,YLR134W,YDR380W,YDL080C,YJL121C,,,,,,,,
6,0.158240093954337,4.56242558441421,YGR087C,YLR044C,YLR134W,YOR375C,YAL062W,YNL104C,,,,,,,,
7,0.159405260216253,4.55674914859742,YGR087C,YLR044C,YLR134W,YDR380W,YDL080C,YOR375C,YAL062W,,,,,,,
9,0.171894780295992,1.88925054365751,YBR068C,YDR046C,YBR069C,YGR087C,YLR044C,YLR134W,YCL025C,YKR039W,YNL104C,,,,,
9,0.160780560567736,0.373833882451508,YMR083W,YGR087C,YLR044C,YLR134W,YKL192C,YOL059W,YJL121C,YLR348C,YML120C,,,,,
10,0.159157849078759,4.56862811486354,YOL086C,YDL168W,YMR303C,YGL256W,YBR145W,YMR083W,YGR087C,YLR044C,YLR134W,YJL121C,,,,
10,0.161032120511918,0.357636350148027,YMR083W,YGR087C,YLR044C,YLR134W,YKL192C,YOL059W,YOR375C,YAL062W,YLR348C,YML120C,,,,
10,0.173180795667675,1.88675950020345,YBR068C,YDR046C,YBR069C,YGR087C,YLR044C,YLR134W,YDR380W,YDL080C,YCL025C,YKR039W,,,,
11,0.15940239421361,4.56276224693661,YOL086C,YDL168W,YMR303C,YGL256W,YBR145W,YMR083W,YGR087C,YLR044C,YLR134W,YOR375C,YAL062W,,,
14,0.173146002117168,1.89985958718298,YOL086C,YDL168W,YMR303C,YGL256W,YBR145W,YBR068C,YMR083W,YDR046C,YBR069C,YGR087C,YLR044C,YLR134W,YCL025C,YKR039W
