Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,
4,0.282370956733351,0.337345760548487,YLR027C,YHR208W,YKL141W,YMR118C,,,,,,,,,,,,
6,0.283724808756438,0.249526104101362,YMR083W,YKL192C,YLR348C,YKL141W,YMR118C,YML120C,,,,,,,,,,
7,0.281090365590432,0.134532916132171,YMR083W,YKL192C,YAL054C,YOL059W,YJL121C,YLR348C,YML120C,,,,,,,,,
7,0.281090365590432,0.134532865800685,YMR083W,YKL192C,YER170W,YOL059W,YJL121C,YLR348C,YML120C,,,,,,,,,
7,0.281090365562677,0.134532872560716,YMR083W,YKL192C,YOL059W,YMR267W,YJL121C,YLR348C,YML120C,,,,,,,,,
8,0.264515035390002,0.11834303685464,YMR083W,YPL061W,YLR027C,YKL192C,YOL059W,YHR208W,YLR348C,YML120C,,,,,,,,
8,0.265707850549022,0.0163893876597285,YMR083W,YLR027C,YKL192C,YOL059W,YHR208W,YMR267W,YLR348C,YML120C,,,,,,,,
8,0.26570785055596,0.0163893934804946,YMR083W,YLR027C,YKL192C,YAL054C,YOL059W,YHR208W,YLR348C,YML120C,,,,,,,,
9,0.159836277228323,0.346651333733462,YMR083W,YGR087C,YLR044C,YLR134W,YKL192C,YOL059W,YJL121C,YLR348C,YML120C,,,,,,,
9,0.229897187357902,0.406297312467359,YOL086C,YDL168W,YGL256W,YBR145W,YMR083W,YKL192C,YOL059W,YLR348C,YML120C,,,,,,,
9,0.170315721124983,0.125734487991615,YGR087C,YLR044C,YLR134W,YDR380W,YDL080C,YLR027C,YLR348C,YKL141W,YMR118C,,,,,,,
10,0.160077933634147,0.347175380215049,YMR083W,YGR087C,YLR044C,YLR134W,YKL192C,YOL059W,YOR375C,YAL062W,YLR348C,YML120C,,,,,,
11,0.134826000542287,0.0111649504070894,YGR087C,YLR044C,YLR134W,YDR380W,YDL080C,YOR375C,YAL062W,YJL121C,YLR348C,YKL141W,YMR118C,,,,,
12,0.164489844990462,0.119484377792105,YDL168W,YMR303C,YGR087C,YLR044C,YLR134W,YLR027C,YKL192C,YOL059W,YHR208W,YGR244C,YLR348C,YML120C,,,,
12,0.171706508859875,0.0199383164290339,YDL168W,YMR303C,YGR087C,YLR044C,YLR134W,YLR027C,YKL192C,YOL059W,YOR323C,YHR208W,YLR348C,YML120C,,,,
13,0.174079680241407,0.377542261383496,YBR068C,YMR083W,YDR046C,YBR069C,YGR087C,YLR044C,YLR134W,YKL192C,YCL025C,YKR039W,YOL059W,YLR348C,YML120C,,,
16,0.164803482622035,0.263505907380022,YDL168W,YMR303C,YBR068C,YDR046C,YBR069C,YGR087C,YLR044C,YLR134W,YDR380W,YDL080C,YKL192C,YCL025C,YKR039W,YOL059W,YLR348C,YML120C
