Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,
1,0.47783366076072,4.05089196022094,STM0168,,,,,,,,
3,0.301008764592058,2.30663014226754,STM1884,STM3069,STM2317,,,,,,
3,0.301008764592058,2.30663014226754,STM1290,STM1884,STM2317,,,,,,
3,0.301008764592056,2.30663014225358,STM1885,STM3069,STM2317,,,,,,
3,0.301008764592056,2.30663014225358,STM1290,STM1885,STM2317,,,,,,
4,0.295273828241695,2.58270342630659,STM1884,STM2952,STM2317,STM0977,,,,,
4,0.310599621881353,0.914455149067423,STM1290,STM4183,STM0974,STM2317,,,,,
4,0.310684852934035,0.902083310284131,STM1290,STM0974,STM4184,STM2317,,,,,
4,0.313004655581078,0.565348945778903,STM2952,STM4183,STM2317,STM4578,,,,,
4,0.313222347290566,0.533749585575699,STM1290,STM4184,STM2317,STM0977,,,,,
4,0.313222347290565,0.533749585574278,STM3069,STM4184,STM2317,STM4578,,,,,
4,0.314192091677426,0.392984913092693,STM2952,STM0974,STM2317,STM0977,,,,,
4,0.315692223886361,0.175231016359985,STM1290,STM4183,STM2317,STM0977,,,,,
4,0.313222347290567,0.533749585575031,STM2952,STM4184,STM2317,STM4578,,,,,
5,0.316780106578632,0.0173178044830644,STM1193,STM1570,STM4036,STM3069,STM2317,,,,
6,0.29687237549805,2.53451116427134,STM1884,STM2952,STM2081,STM0542,STM2317,STM1480,,,
7,0.315729642346047,0.151793423316344,STM1749,STM2463,STM1570,STM4036,STM3069,STM2317,STM3708,,
7,0.316731432206927,0.0243832044328256,STM1886,STM1290,STM4085,STM4415,STM0542,STM2317,STM0977,,
7,0.316834060625159,0.00948602546734589,STM3680,STM0322,STM1886,STM2952,STM3062,STM2317,STM1480,,
9,0.316731432206919,0.0243832044309316,STM1886,STM3068,STM2141,STM3062,STM0772,STM4585,STM3704,STM0542,STM2317
