Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,
5,0.258399857817636,0.236175918998727,YKL085W,YKL148C,YKL141W,YDL085W,YMR145C,,,,,,,,,,,,
6,0.171016218179882,0.203820215095228,YGR087C,YLR044C,YLR134W,YNL104C,YGR244C,YLR348C,,,,,,,,,,,
6,0.171016218180751,0.203820209047141,YGR087C,YLR044C,YLR134W,YDR148C,YNL104C,YLR348C,,,,,,,,,,,
7,0.224808253465559,1.05273288191519,YER065C,YLR142W,YLR348C,YKL148C,YKL141W,YDL085W,YMR145C,,,,,,,,,,
7,0.17101621818075,0.203820225341567,YGR087C,YLR044C,YLR134W,YNL104C,YLR348C,YKL148C,YKL141W,,,,,,,,,,
7,0.172319913671221,0.202324698538343,YGR087C,YLR044C,YLR134W,YDR380W,YDL080C,YDR148C,YLR348C,,,,,,,,,,
7,0.172319913671221,0.202324706545968,YGR087C,YLR044C,YLR134W,YDR380W,YDL080C,YGR244C,YLR348C,,,,,,,,,,
7,0.224957848767606,1.0870765068007,YMR189W,YLR142W,YLR348C,YKL148C,YKL141W,YDL085W,YMR145C,,,,,,,,,,
7,0.22480825346534,1.05273290013602,YFL030W,YLR142W,YLR348C,YKL148C,YKL141W,YDL085W,YMR145C,,,,,,,,,,
7,0.17073868195378,0.199560476332986,YGR087C,YLR044C,YLR134W,YPR021C,YDL066W,YNL104C,YLR348C,,,,,,,,,,
7,0.224957848781483,1.08707648279003,YBR263W,YLR142W,YLR348C,YKL148C,YKL141W,YDL085W,YMR145C,,,,,,,,,,
8,0.224091478598293,1.0880249107441,YHR037W,YOR323C,YBR263W,YLR348C,YKL148C,YKL141W,YDL085W,YMR145C,,,,,,,,,
8,0.224091478584415,1.08802486415214,YHR037W,YOR323C,YMR189W,YLR348C,YKL148C,YKL141W,YDL085W,YMR145C,,,,,,,,,
8,0.223943032957505,1.05381285247869,YHR037W,YOR323C,YER065C,YLR348C,YKL148C,YKL141W,YDL085W,YMR145C,,,,,,,,,
8,0.222900336733601,1.09745644774037,YLR027C,YOR323C,YER065C,YLR348C,YKL148C,YKL141W,YDL085W,YMR145C,,,,,,,,,
8,0.152880709963031,1.18979515485118,YGR087C,YLR044C,YLR134W,YLR348C,YKL148C,YKL141W,YDL085W,YMR145C,,,,,,,,,
8,0.222900336733601,1.09745644608099,YLR027C,YFL030W,YDR300C,YLR348C,YKL148C,YKL141W,YDL085W,YMR145C,,,,,,,,,
8,0.223204596329975,1.08899575271471,YLR027C,YOR323C,YBR263W,YLR348C,YKL148C,YKL141W,YDL085W,YMR145C,,,,,,,,,
8,0.223204596329975,1.08899575271471,YLR027C,YBR263W,YDR300C,YLR348C,YKL148C,YKL141W,YDL085W,YMR145C,,,,,,,,,
8,0.224091478598293,1.0880249107441,YHR037W,YBR263W,YDR300C,YLR348C,YKL148C,YKL141W,YDL085W,YMR145C,,,,,,,,,
8,0.224091478584415,1.08802486415214,YHR037W,YMR189W,YDR300C,YLR348C,YKL148C,YKL141W,YDL085W,YMR145C,,,,,,,,,
10,0.183820503202697,1.11151416295731,YOL086C,YDL168W,YGL256W,YBR145W,YFL030W,YLR348C,YKL148C,YKL141W,YDL085W,YMR145C,,,,,,,
10,0.174593811338888,0.0339288822635541,YOL086C,YDL168W,YMR303C,YGL256W,YBR145W,YGR087C,YLR044C,YLR134W,YDR148C,YLR348C,,,,,,,
10,0.184080042665184,1.10448869466849,YOL086C,YDL168W,YGL256W,YBR145W,YMR189W,YLR348C,YKL148C,YKL141W,YDL085W,YMR145C,,,,,,,
11,0.174593811339318,0.0339288915321839,YOL086C,YDL168W,YMR303C,YGL256W,YBR145W,YGR087C,YLR044C,YLR134W,YLR348C,YKL148C,YKL141W,,,,,,
11,0.169081169377343,0.00181422993497819,YBR068C,YDR046C,YBR069C,YGR087C,YLR044C,YLR134W,YCL025C,YKR039W,YDR300C,YNL104C,YLR348C,,,,,,
14,0.127574326571758,2.21101203628904,YHR104W,YBR068C,YDR046C,YBR069C,YGR087C,YLR044C,YLR134W,YOR348C,YLR027C,YPL265W,YCL025C,YKR039W,YOL020W,YNL104C,,,
14,0.158617837598568,0.46377243419957,YGR087C,YLR044C,YLR134W,YDR380W,YDL080C,YOR348C,YLR027C,YPL265W,YCL025C,YKR039W,YOL020W,YDL066W,YHR208W,YLR348C,,,
15,0.130224227429971,1.79750458688769,YHR104W,YGR087C,YLR044C,YLR134W,YOR348C,YFL055W,YPL265W,YCL025C,YKR039W,YOL020W,YDR536W,YMR250W,YGR244C,YLR348C,YKL085W,,
15,0.13507876053557,0.565843114375239,YHR104W,YGR087C,YLR044C,YLR134W,YDL210W,YOR348C,YFL055W,YPL265W,YCL025C,YKR039W,YOL020W,YDR536W,YGR244C,YLR348C,YKL085W,,
17,0.125632624379706,2.24436330299488,YHR104W,YBR068C,YDR046C,YBR069C,YGR087C,YLR044C,YLR134W,YDR380W,YDL080C,YOR348C,YDR508C,YPL265W,YCL025C,YKR039W,YOL020W,YLR348C,YKL085W
